lambda_idx,t_1_ms,t_2_ms,t_3_ms
1271,15.090,21.990,26.821
1272,15.871,22.652,27.522
1273,16.085,22.692,27.478
1274,14.607,21.254,26.363
1275,15.095,22.005,26.876
1276,16.269,22.960,27.826
1277,15.801,22.542,27.413
1278,15.766,22.284,27.269
1279,15.871,22.677,27.244
1280,16.308,22.990,28.050
1281,16.095,22.826,27.876
1282,15.950,22.781,27.751
1283,15.876,22.607,27.622
1284,15.592,22.428,27.463
1285,15.517,22.468,27.517
1286,15.811,22.408,27.418
1287,15.552,22.388,27.234
1288,15.796,22.522,27.348
1289,15.259,21.801,26.726
1290,16.139,22.562,27.522
1291,14.910,21.697,26.582
1292,15.776,22.383,27.199
1293,15.299,21.876,26.746
1294,15.209,21.891,27.164
1295,15.935,22.751,27.602
1296,15.532,22.144,27.134
1297,16.035,22.831,27.811
1298,16.592,23.055,28.015
1299,16.179,22.672,27.692
1300,15.796,22.408,27.090
1301,15.488,22.010,26.965
1302,15.313,22.040,26.876
1303,15.667,22.473,27.289
1304,15.254,21.751,26.881
1305,14.308,21.035,25.826
1306,16.328,23.040,27.856
1307,15.965,22.692,27.866
1308,15.448,22.189,27.398
1309,16.303,22.761,27.915
1310,15.557,22.413,27.368
1311,15.532,22.100,27.239
1312,14.463,21.184,26.040
1313,15.856,22.478,27.547
1314,15.498,22.403,27.338
1315,15.114,21.955,26.935
1316,15.716,22.403,27.572
1317,16.483,23.164,28.438
1318,15.721,22.408,27.547
1319,15.861,22.234,27.264
1320,15.418,22.363,27.622
1321,15.891,22.403,27.378
1322,15.090,21.900,26.731
1323,15.448,22.453,27.299
1324,15.826,22.488,27.836
1325,16.174,22.592,27.866
1326,15.328,22.015,27.194
1327,15.642,22.622,27.368
1328,14.871,21.443,26.647
1329,15.781,22.801,27.816
1330,15.214,21.846,26.846
1331,15.483,22.080,26.990
1332,15.055,21.950,26.731
1333,15.642,22.428,27.328
1334,15.935,22.592,27.453
1335,14.940,21.542,26.353
1336,16.657,23.139,28.129
1337,15.896,22.488,27.353
1338,15.687,22.214,27.050
